DC,FP,SM,FR,WC,AL,CL,IC,CT,AFR,CFR,SC,BP,Pt_Util
25.7,12,1,1,0.32,0.1,0.4,0.43,70,200,500,0.06,0,1.68
18.3,12,0,0.1,0.27,0.05,0.15,0.54,80,300,1500,0.045,0.2,0.19
25.7,12,1,0.8,0.32,0.2,0.45,0.43,70,200,500,0.06,0,1.21
18.3,12,0,0.2,0.27,0.1,0.15,0.54,80,300,1500,0.045,0.2,0.25
18.3,12,0,0.2,0.27,0.1,0.3,0.54,70,200,500,0.045,0,0.66
18.3,12,0,0.2,0.27,0.1,0.2,0.25,80,300,1500,0.045,0.2,0.42
20.7,-20,0,0.6,0.3,0.2,0.4,0.43,80,300,1500,0.045,0.1,0.57
20.7,-20,0,0.6,0.16,0.5,0.2,0.43,70,200,500,0.048,0,1.37
25.7,12,1,0.8,0.19,0.1,0.2,0.54,80,300,1500,0.048,0.2,0.4
17.8,35,0,1,0.19,0.4,0.2,0.46,70,200,500,0.033,0,1.68
18.3,12,1,0.8,0.27,0.2,0.55,0.43,70,200,500,0.05,0,1.37
20.7,-20,0,0.8,0.3,0.4,0.2,0.43,70,200,500,0.033,0,1.23
20.7,-20,0,0.6,0.3,0.05,0.1,0.43,70,200,500,0.044,0,0.5
20.7,-20,0,0.6,0.3,0.2,0.4,0.54,70,200,500,0.045,0,1.06
17.8,35,0,1,0.18,0.2,0.4,0.43,70,200,500,0.033,0,1.83
20.7,-20,0,0.6,0.3,0.2,0.4,0.43,70,300,1500,0.045,0,0.76
18.3,12,0,0.2,0.27,0.05,0.15,0.67,80,300,1500,0.045,0.2,0.19
18.3,12,1,0.8,0.27,0.2,0.4,0.43,70,200,500,0.05,0,1.18
20.7,-20,0,0.2,0.3,0.1,0.2,0.43,80,300,1500,0.045,0.2,0.28
18.3,12,0,0.2,0.27,0.1,0.3,0.54,70,200,500,0.045,0,0.63
20.7,-20,0,0.2,0.3,0.2,0.4,0.43,80,300,1500,0.045,0.2,0.51
25.7,12,1,0.2,0.19,0.1,0.2,0.43,80,300,1500,0.048,0.2,0.3
18.3,12,0,0.1,0.27,0.05,0.15,0.54,80,300,1500,0.045,0.2,0.19
18.3,12,0,0.2,0.27,0.1,0.2,0.54,70,200,500,0.045,0.2,0.27
18.3,12,0,0.2,0.27,0.1,0.2,0.67,70,200,500,0.045,0,0.53
18.3,12,0,0.8,0.27,0.2,0.4,0.43,60,200,500,0.05,0,0.96
20.7,-20,0,0.6,0.3,0.1,0.2,0.43,90,200,500,0.045,0,0.5
18.3,12,1,0.6,0.27,0.2,0.3,0.43,70,200,500,0.05,0,0.87
18.3,12,0,0.8,0.27,0.05,0.1,0.54,70,200,500,0.045,0,0.42
17.8,35,0,0.8,0.18,0.4,0.2,0.43,70,200,500,0.033,0,1.7
20.7,-20,0,0.4,0.3,0.2,0.4,0.43,90,300,1500,0.045,0.2,0.53
17.8,35,0,0.8,0.19,0.2,0.4,0.46,70,200,500,0.033,0,1.43
18.3,12,0,0.2,0.27,0.2,0.2,0.54,70,200,500,0.045,0,0.63
78,100,0,0.6,0.86,0.1,0.2,0.43,80,300,1500,0.0434,0.2,0.33
18.3,12,0,0.2,0.27,0.1,0.2,0.54,80,300,1500,0.045,0.2,0.26
18.3,12,0,0.4,0.27,0.1,0.2,0.54,80,300,1500,0.045,0.2,0.3
17.8,35,0,0.8,0.19,0.2,0.5,0.46,70,200,500,0.033,0,1.45
25.7,12,1,0.8,0.32,0.2,0.4,0.43,70,200,500,0.06,0,1.41
